Counter,Timestamp_ms,SPS30_Particles,SPS30_Conc,PMSA_Particles,PMSA_Conc,PM2012_Particles,PM2012_Conc_GRIMM,PM2012_Conc_TSI,PM2016_Particles,PM2016_Conc
22,39867,125,20,990,32,744,27,19,3178,32,
23,41381,124,20,1014,32,760,28,20,3195,33,
24,42491,123,19,1027,32,761,28,20,3190,33,
25,43606,122,19,1039,32,764,28,20,3181,33,
26,44717,122,19,1052,32,763,28,20,3167,32,
27,45834,120,19,1062,32,753,27,19,3160,32,
28,46947,119,19,1060,33,752,27,19,3136,31,
29,48068,117,18,1059,33,748,27,19,3120,31,
30,49184,115,18,1055,33,742,27,19,3095,30,
31,50308,113,18,1050,31,745,27,19,3079,30,
32,51428,110,17,1031,31,740,27,19,3056,30,
33,52641,109,17,1019,31,753,27,19,3049,33,
34,53752,109,17,1007,31,757,28,20,3071,35,
35,54870,108,17,991,31,758,28,20,3068,37,
36,55985,107,17,973,29,756,27,19,3065,37,
37,57107,106,17,960,29,755,28,20,3058,37,
38,58226,104,16,945,29,755,28,20,3049,37,
39,59400,102,16,932,29,766,28,20,3054,37,
40,60551,101,16,910,29,765,28,20,3078,37,
41,61707,100,16,901,29,777,29,20,3074,37,
42,62859,100,16,889,29,790,29,20,3086,37,
43,64021,100,16,880,29,806,30,21,3128,37,
44,65175,100,16,872,29,818,30,21,3120,37,
45,66333,100,16,871,29,826,30,21,3129,37,
46,67486,99,16,872,29,836,31,22,3147,38,
47,68644,99,16,874,29,840,31,22,3154,38,
48,69801,100,16,880,29,830,31,22,3161,38,
49,70965,103,16,885,29,838,32,22,3207,40,
50,72122,105,17,893,29,857,32,23,3224,41,
51,73284,107,17,903,29,852,33,23,3237,42,
52,74447,110,17,912,29,853,33,23,3229,42,
53,75662,110,17,912,29,859,33,23,3240,44,
54,76815,113,18,923,29,864,33,23,3271,46,
55,77973,116,18,940,29,870,33,23,3291,46,
56,79123,117,18,948,29,889,34,24,3310,46,
57,80283,119,19,957,29,895,34,24,3316,46,
58,81444,121,19,969,31,904,35,24,3333,46,
59,82602,121,19,980,31,909,35,24,3332,46,
60,83759,122,19,989,32,915,35,25,3319,47,
61,84924,124,19,996,32,917,35,25,3317,48,
62,86082,125,20,1010,31,919,35,25,3301,48,
63,87245,126,20,1015,31,913,35,25,3297,48,
64,88405,128,20,1022,31,918,35,25,3294,47,
65,89568,128,20,1029,32,910,35,25,3298,48,
66,90737,129,20,1034,33,903,35,24,3309,48,
67,91901,128,20,1035,32,889,34,24,3312,48,
68,93067,128,20,1036,32,900,35,24,3283,49,
69,94291,128,20,1037,33,902,35,24,3274,49,
70,95448,128,20,1039,33,887,34,24,3246,49,
71,96605,127,20,1038,33,880,34,24,3266,51,
72,97761,127,20,1038,33,884,34,24,3288,56,
73,98921,127,20,1039,33,888,34,24,3310,56,
74,100079,128,20,1040,33,884,34,24,3310,56,
75,101239,129,20,1044,32,881,34,24,3318,56,
76,102398,129,20,1046,32,882,34,24,3343,58,
77,103562,129,20,1049,33,891,34,24,3334,58,
78,104720,130,20,1054,33,887,34,24,3344,58,
